,PC_1,PC_2,PC_3,PC_4,PC_5
2011-03-11,-13.823355746475757,-5.662778529907617,-0.7667264526841054,-0.5536347759083917,0.023348122693976205
2011-03-18,-13.74397801805956,-5.735680991865269,-0.8912974965572257,-0.6102020851178057,0.024160317733390703
2011-03-25,-14.172717573405954,-5.740022223081886,-0.8391796226377627,-0.6536997842900957,-0.012647151245003254
2011-04-01,-14.627045949371182,-5.772148524548951,-0.7010725762955731,-0.6769287406308417,-0.05053779734852349
2011-04-08,-15.034341482671378,-5.8202963926735976,-0.7747061605603917,-0.7934446156334573,-0.08063507434960794
2011-04-15,-14.725994422883423,-5.6975353940674465,-0.7745597951654203,-0.7456541366337581,-0.06500233536840551
2011-04-21,-14.366477745869208,-5.532327928499058,-0.845296376757308,-0.6807857836316984,-0.036090592329508855
2011-04-29,-14.328260594812066,-5.38236257879362,-0.835112020489183,-0.6821770551111722,-0.04510839399830895
2011-05-06,-14.120358014649586,-5.321840819222474,-0.9219411902274142,-0.7478495300585991,-0.0620761326543157
2011-05-13,-13.86771498827176,-5.267016810274404,-1.0284193194492395,-0.7020159432657982,-0.02361126947845585
2011-05-20,-13.839311450543523,-5.2136410268151785,-1.0377496513132525,-0.7076558189837089,-0.02742419986365326
2011-05-27,-13.361396940714485,-5.254100495135316,-1.1619101424104474,-0.5522578030478845,0.08022721092221852
2011-06-03,-13.471776514020869,-5.188585557563824,-1.197712275517496,-0.5929470262660108,0.06497111658047168
2011-06-10,-13.450274473965102,-5.16835343235093,-1.3475609878912438,-0.5399026799108653,0.028003017692604118
2011-06-17,-13.576996922633322,-5.268297885118129,-1.479499422712302,-0.5758243939952753,-0.08884840573515394
2011-06-24,-13.35212586812042,-5.341693096343041,-1.6079504296126808,-0.6155263749838473,-0.16108937613706817
2011-07-01,-14.019080013753909,-5.34396606638173,-1.4309726756983827,-0.734975840178615,-0.13652657407605356
2011-07-08,-13.356299055316137,-5.102560288832581,-1.4818386494160993,-0.5067156038285611,-0.058205851020011135
2011-07-15,-12.72515506747818,-5.207393993901556,-1.553748480208012,-0.5361374566932972,-0.20278779660290286
2011-07-22,-13.178918991413127,-5.344028047490995,-1.5311728051740183,-0.6402965544173125,-0.10046914939228146
2011-07-29,-12.29703786322157,-5.180805134946234,-1.5710300538975885,-0.5534742165474327,-0.022016458550533392
2011-08-05,-11.4653425973531,-5.385979483423412,-1.4368910335719285,-0.38898939717051934,-0.07922678564626577
2011-08-12,-11.181372407434653,-5.605004517693045,-1.7499554655990541,-0.5698093360462703,-0.20044785779608798
2011-08-19,-10.455224350645194,-5.285761742879347,-1.72292730219039,-0.553097073648182,-0.1420917268590221
2011-08-26,-10.463799657233634,-5.369577277791442,-1.7549556392470897,-0.5746160832003279,-0.1595925598143342
2011-09-02,-10.3736016212503,-5.4575565176771565,-1.768657542400696,-0.6251786136930303,-0.1443022305635903
2011-09-09,-9.44866677201038,-5.337503383691871,-1.759999561114109,-0.7161003288055848,-0.19613119605451465
2011-09-16,-9.802913444472653,-5.215128434657351,-1.47674538187178,-0.7443849322575306,-0.10883099474057913
2011-09-23,-8.9716905299912,-5.0053977114564985,-1.2551228467072824,-0.5699371171969253,-0.04510615572051626
2011-09-30,-9.605859616316115,-5.185328108787265,-1.2819289362227606,-0.6282971611175329,0.011717654482335834
2011-10-07,-10.132550098246803,-5.313694071239806,-1.361993389123984,-0.618880532283843,0.008887341869201796
2011-10-14,-10.93625216599763,-5.7431743023908535,-1.2572446079016044,-0.6187558711232671,-0.04842408264351614
2011-10-21,-10.984082130407007,-5.653443902375017,-1.2740473515177517,-0.6368567268151696,-0.03449928009783869
2011-10-28,-11.01785004602072,-5.83588234629155,-1.4338497826510401,-0.5868136550875815,0.033100019268525266
2011-11-04,-10.20439018678024,-5.704407753004553,-1.5603197049033088,-0.5583548722904441,0.02551863047941213
2011-11-11,-10.733503823937097,-5.7126787585747865,-1.3085649916543483,-0.5181790703262296,0.03641646675790474
2011-11-18,-11.223473653187176,-5.699342003322375,-0.9809209868212662,-0.45024312299628444,0.03590804181471937
2011-11-25,-11.97085770328299,-6.080988764008424,-0.7715751234670502,-0.581847640656396,-0.0744267291081044
2011-12-02,-10.792038083436237,-6.118407230764059,-1.145114299545825,-0.4982876281093922,-0.16735558565457498
2011-12-09,-10.420761771564027,-5.930709384833378,-0.9291734046334152,-0.43915151537856584,-0.14868163767492995
2011-12-16,-9.425840901979548,-5.6745608501969045,-0.9137287662163415,-0.30451570422901925,-0.1577468468421537
2011-12-23,-9.572993714083987,-5.79720168589654,-0.9637284734962184,-0.3788556708337397,-0.19946745380361336
2011-12-30,-9.393419475385748,-5.798196412530129,-0.9896574473681156,-0.3408533348003304,-0.2079736806549121
2012-01-06,-10.105412520062071,-5.954481896367158,-0.9809054890821941,-0.4569077658407567,-0.2632684024833978
2012-01-13,-9.30187349099365,-5.733106827827987,-1.2035110854105702,-0.39672151892004603,-0.12862316311036842
2012-01-20,-9.782401329393268,-5.930073624344602,-1.2815217876505682,-0.36883548697982393,-0.051809693677189884
2012-01-27,-9.593575557137028,-5.876563358529045,-1.3408004151512396,-0.23175430746615647,0.08635742039884603
2012-02-03,-9.534435151975662,-5.940901444930621,-1.3938475510598631,-0.36061198554561547,-0.08656644103144412
2012-02-10,-9.612418641755756,-5.897150733989433,-1.4251819871603333,-0.3671272162984532,-0.11816270029611546
2012-02-17,-9.67944681529506,-5.783946923767113,-1.2644121260572838,-0.3372632481665226,-0.14313767812692382
2012-02-24,-9.493183980598884,-5.805301738779956,-1.3495300452552834,-0.3507224055702523,-0.09647722100418832
2012-03-02,-9.141559659311714,-5.821914863804474,-1.434206854732214,-0.4255023579193977,-0.13609384859234336
2012-03-09,-9.114457841444715,-5.789279673974549,-1.4310716708158389,-0.3600383106145816,-0.09397121113855972
2012-03-16,-9.930105803920057,-6.070776705749204,-1.2845054768188697,-0.3031206359988893,0.05980735410376549
2012-03-23,-9.414585627975889,-5.876955814553853,-1.318318814624109,-0.23422536349777023,0.05973888627043206
2012-03-30,-9.248444547050859,-5.815536384804937,-1.3647566820603119,-0.20131449483028896,0.10274716342539544
2012-04-05,-9.272216353133588,-5.873144306124254,-1.437157401150469,-0.23943456178356953,0.03694512579162529
2012-04-13,-9.010459593759906,-5.78891054344743,-1.447496077901639,-0.31872200659736105,0.00588465816009455
2012-04-20,-9.2778745667517,-5.818978882723335,-1.3297102342073268,-0.24501989318855952,0.0701774291976866
2012-04-27,-9.04548176200122,-5.828031887141197,-1.4693694961696822,-0.4240029721260008,-0.03774742917309127
2012-05-04,-8.600943319366515,-5.6650828573732745,-1.530714512676718,-0.3391444594181131,0.018253202168935938
2012-05-11,-8.247783805237137,-5.376404459875892,-1.4641244296311875,-0.3105026406667749,0.007043656451629986
2012-05-18,-8.008030624309324,-5.184614556514322,-1.3678523480339249,-0.3496740610252976,-0.08381657506062644
2012-05-25,-7.340218260576765,-4.901402323977933,-1.356271771322919,-0.2920963092510334,-0.0253349314763816
2012-06-01,-6.35598956683401,-4.315244494645654,-1.35964464430719,-0.2615729483077101,0.014873960224347484
2012-06-08,-7.277476107515371,-4.788392093984388,-1.2986974486470477,-0.28725969085795944,-0.03296417153302789
2012-06-15,-7.7893085336386685,-5.1197561359681965,-1.4096553495295767,-0.3787657080128102,-0.06027730747172144
2012-06-22,-8.155938049805497,-5.316412310679498,-1.4002655051287412,-0.43874788910343776,-0.08138964045142301
2012-06-29,-8.425997264554017,-5.530401946847014,-1.5104471031536144,-0.4708764053792022,-0.09323898179191603
2012-07-06,-7.3600099486985355,-5.302298929464217,-1.8582220950050747,-0.5590538923635916,-0.13787041955645218
2012-07-13,-6.821581346201387,-5.091083505535135,-1.7791271579796812,-0.3601821119219181,0.010195888427952828
2012-07-20,-6.408245300631694,-4.820541318926758,-1.776267490388679,-0.4227489557284205,-0.038623206915787744
2012-07-27,-7.081249730358435,-5.154464635628947,-1.7332996938098681,-0.42104553237760645,-0.04285407810405101
2012-08-03,-6.672736282312802,-4.938432435622063,-1.7890929199345869,-0.4041659681860131,-0.027195623858321607
2012-08-10,-6.652953911309983,-5.007298799305706,-1.8127211258050628,-0.3970098062523504,-0.027065737900147775
2012-08-17,-7.090929576953721,-5.133586742926492,-1.7151756004106846,-0.32372494980683814,-0.06568889630915059
2012-08-24,-6.595488820813173,-4.897956197667185,-1.654518299639296,-0.33131097963725714,0.024012382203197385
2012-08-31,-6.821608024966802,-4.98089748897974,-1.7084228747326047,-0.30411677630533956,0.0037850468088508906
2012-09-07,-7.325306461071622,-5.288513775659378,-1.8245294516789883,-0.3712247050905322,0.10941380824518636
2012-09-14,-7.759946879060697,-5.480382438710923,-1.8799966879393706,-0.4304394475217162,0.10820427766998375
2012-09-21,-7.542117634318618,-5.422768815744001,-1.843196118568015,-0.3964779667154734,0.13929284859863855
2012-09-28,-7.060554808969217,-5.12763980347888,-1.8199828399209494,-0.3505230622011699,0.17023054392222728
2012-10-05,-7.3305719615173235,-5.271517127359157,-1.845922796193554,-0.3869343222291076,0.12973830108631687
2012-10-12,-7.01343974717953,-5.116894948046893,-1.8343960528199073,-0.39527960882575836,0.12887826407595165
2012-10-19,-7.40572105121137,-5.25634852663783,-1.7906613055804905,-0.447760021260379,0.1205873982185273
2012-10-26,-7.267934817280438,-5.2359886456465405,-1.8462845145201072,-0.44803357883768474,0.1238760012357515
2012-11-02,-7.018337054418257,-5.1027843913028,-1.8049480828039959,-0.3797598613424003,0.12863159212405179
2012-11-09,-6.67340258906657,-4.982081426117799,-1.8805172934795489,-0.39665483785214317,0.13050869213303676
2012-11-16,-6.721885725040234,-5.052948523392604,-1.9844342268841328,-0.4852815485169233,0.12870925652845347
2012-11-23,-7.082454033575469,-5.234739237969184,-1.9933332833905302,-0.5159064737402898,0.12715831670675615
2012-11-30,-6.737472031641951,-5.004793030002378,-1.9881665139252784,-0.5275425048149288,0.11617359695660441
2012-12-07,-6.4802828768613345,-4.966785116428435,-2.0918474226018158,-0.49762301891596017,0.12677086775642873
2012-12-14,-6.48009296014934,-4.929691121362288,-2.0384378743039244,-0.4436065110194818,0.12839016910053336
2012-12-21,-6.556813202611206,-4.912840019605033,-1.9640551001807294,-0.4366089258547336,0.12439731995955994
2012-12-28,-6.337999174154291,-4.765458331331573,-1.9237277715208094,-0.3838588760318854,0.12697443047351584
2013-01-04,-7.184555338205052,-5.186504107093698,-1.8951529690042463,-0.5165032252841746,0.115622268602696
2013-01-11,-7.345375828360137,-5.207929693782574,-1.8944315046124391,-0.5252755779042179,0.11513621176476282
2013-01-18,-7.207271655861005,-4.935825437166254,-1.7111796208865313,-0.5233128648085179,0.13994227725970465
2013-01-25,-7.4561874788702465,-4.940515421048775,-1.672640803185057,-0.5553305413479579,0.1313971181267535
2013-02-01,-7.429542111587733,-4.9531228747452305,-1.6215784161888898,-0.450828072208869,0.19139066381497907
2013-02-08,-7.433929632739641,-5.0915687459590595,-1.7365191455628481,-0.4970675532112437,0.19317523079311175
2013-02-15,-7.555888813157406,-5.198857144024922,-1.7652551645556576,-0.5110778796594253,0.19352047717230328
2013-02-22,-7.377903582662213,-5.196465132580262,-1.853755196871893,-0.5106361748405044,0.20051465441215896
2013-03-01,-6.895153353876506,-5.043055874250224,-1.929151546149799,-0.4786270840145284,0.2081042332288037
2013-03-08,-7.187293595750679,-5.138630074365691,-1.9402675276480421,-0.5640144207520841,0.1932733761013711
2013-03-15,-7.074814923345191,-5.13449454205224,-2.059797025311958,-0.5683344404599701,0.20568243102739509
2013-03-22,-6.775167690558764,-4.926618566686129,-1.9481442982861517,-0.5199836033339896,0.2036847889228316
2013-03-28,-6.703861560837668,-4.954673219551934,-2.0044085415182513,-0.5470623242852404,0.20358613549330087
2013-04-05,-6.179388624198956,-4.625306152872028,-2.017445142344687,-0.6166637064105466,0.20613406464513487
2013-04-12,-6.4677650007284795,-4.781898732940827,-1.9995411458332342,-0.6140972509680784,0.20580549080349136
2013-04-19,-6.440203770816457,-4.773518571569774,-2.0353487260571086,-0.6510025086360016,0.20538380116842536
2013-04-26,-6.18899977748321,-4.6541186721906245,-1.9959177974841575,-0.6118736840517122,0.20639357840690595
2013-05-03,-6.135782404006218,-4.662896846955975,-2.0048191019708987,-0.5647713694459068,0.2115483659177625
2013-05-10,-6.547490128567607,-4.8661320194989575,-1.958080841323537,-0.5862217268051411,0.20518595903502965
2013-05-17,-6.350200056133011,-4.804978419511177,-2.028828136409159,-0.5539205244465566,0.21657710544589664
2013-05-24,-6.6175199976489205,-4.873787565527725,-1.9586010242285778,-0.5882281315385913,0.16394949920699672
2013-05-31,-7.030238725128314,-5.050340475721369,-1.9167048078944036,-0.5964687984669453,0.16148991367489376
2013-06-07,-7.206590409342926,-4.973700459371823,-1.7906463778440502,-0.6000805645299864,0.18601679789024675
2013-06-14,-7.1293731947354635,-4.958332335330403,-1.8385918159930126,-0.6119514056702933,0.18654084177892796
2013-06-21,-7.938313794494999,-5.211880504955532,-1.6437669026875121,-0.5865946159205586,0.17776969555975905
2013-06-28,-7.972468509092949,-5.269989332947401,-1.5873433308467437,-0.5031436801994237,0.1321691774875434
2013-07-05,-7.774070269155381,-5.397947647566894,-1.7527148859892616,-0.4713911438060629,0.15223454915827653
2013-07-12,-7.328534502408609,-5.157680516220996,-1.8145883468531232,-0.5011424283170439,0.14912647214563898
2013-07-19,-6.768013457500373,-4.893611940942531,-1.8609521026197111,-0.4981452548316767,0.14860202090227698
2013-07-26,-7.227273990108383,-5.042563802903533,-1.709742391345701,-0.5020122540084712,0.13752069662038677
2013-08-02,-7.14284983383828,-4.9496724609216285,-1.6338575162889613,-0.452350741693039,0.1174396735570398
2013-08-09,-7.238290097628347,-4.974247165668462,-1.6425410410291024,-0.4608812505847633,0.11523100389325999
2013-08-16,-7.881944187624819,-5.3065283437476785,-1.613925494640409,-0.4883308828898245,0.09261620153504488
2013-08-23,-8.279556537929405,-5.397289631321327,-1.4996553755204782,-0.4776586601632157,0.056438201216870286
2013-08-30,-8.015575168213672,-5.332771666251913,-1.5638969087335322,-0.48344856573020817,0.06486930149044887
2013-09-06,-8.247434547892743,-5.427620804824882,-1.519319394393188,-0.4491824452663287,0.06428380199714667
2013-09-13,-8.204030218797172,-5.451924144678265,-1.5967305928486917,-0.4876795256463414,0.06355944286594194
2013-09-20,-8.251514716820681,-5.566512226350063,-1.7325563962491113,-0.5583971862645308,0.06616059910725813
2013-09-27,-7.642633345666438,-5.249007325178031,-1.7030392385954363,-0.5166121607625116,0.10833109325809501
2013-10-04,-7.8738976102044305,-5.388736434870881,-1.7556611815429672,-0.5644021217511779,0.06984148054717912
2013-10-11,-7.961527730608645,-5.436366468747764,-1.7731002421890112,-0.5557327730741565,0.07166209551386549
2013-10-18,-7.903216158294552,-5.42430478872356,-1.8175074873058839,-0.5641586071443323,0.074136068267035
2013-10-25,-7.670292867598531,-5.251606992228911,-1.8196641361382642,-0.5599446940213069,0.11157882034157847
2013-11-01,-7.397463005617987,-5.236718970840807,-1.968483915428097,-0.5721316631164248,0.1211192017212781
2013-11-08,-7.602018368983842,-5.3902986754608095,-1.9454735122543014,-0.5609995587953891,0.12060117516386103
2013-11-15,-7.506478925612158,-5.332768172295326,-1.9783541041304713,-0.5926674509402879,0.0672510388991198
2013-11-22,-7.609730758433413,-5.318049634528667,-1.9506816500792865,-0.5603578945270109,0.0694378860349753
2013-11-29,-7.461759337123016,-5.238323292599062,-1.9450231062071013,-0.5384554252136147,0.09652155656024282
2013-12-06,-7.939792900438032,-5.332303363930511,-1.8268718558215489,-0.501835868377877,0.06326324715108296
2013-12-13,-7.937114653536419,-5.2177449039200585,-1.8129959361344774,-0.5082019617031914,0.06360142206846778
2013-12-20,-8.02964122419199,-5.275115123742741,-1.730677189369684,-0.4752787234081428,0.029314752063476848
2013-12-27,-8.260177800429616,-5.410055243850899,-1.6870543272076741,-0.4802493775934757,-0.005169384927831874
2014-01-03,-8.266683456701092,-5.497201762964248,-1.7402567714228603,-0.5103923166952019,-0.002452652505397485
2014-01-10,-8.051200067485674,-5.407840277807527,-1.8294639033461224,-0.5361956092571191,0.0049249158350211045
2014-01-17,-7.783424152219463,-5.246090642880409,-1.8575324324304177,-0.5483028121453585,0.00978996510740594
2014-01-24,-7.436743876608003,-5.096486623073585,-1.8522739020394556,-0.5203470669967153,0.050045063094914084
2014-01-31,-7.084053281315817,-5.005950477701537,-1.8934906246397933,-0.5016561201483922,0.053889937389647626
2014-02-07,-7.151853637559967,-4.993153209006533,-1.9203792584102528,-0.49733933284085735,0.05729815200173313
2014-02-14,-7.234511815986467,-5.05958689265885,-1.9212327045985182,-0.5126264029607503,0.05740700354190251
2014-02-21,-7.226428197968268,-5.053863773342599,-1.9694153852157763,-0.5442119875610704,0.05911873659563648
2014-02-28,-7.106277609723561,-4.879586311128624,-1.8736037274757187,-0.5109347312149174,0.057868486601011446
2014-03-07,-7.219091990216638,-4.865596077593139,-1.8782536324808374,-0.49573536434875315,0.09315062819398973
2014-03-14,-6.876759373105834,-4.736654439219201,-1.9666934194276526,-0.5491402754228443,0.09351321756267873
2014-03-21,-7.189787846744779,-4.760214422897988,-1.8833716890662928,-0.5234600604913038,0.09248968576642265
