,PC_1,PC_2,PC_3
2009-09-15,-14.772892802682815,-6.174146371168442,-0.5483887403497048
2009-09-16,-14.918119219201309,-6.203590282359763,-0.5389374155713842
2009-09-17,-15.016244027790071,-6.1602839070780995,-0.5077378880046666
2009-09-18,-15.053114616182551,-6.213875064625869,-0.5804119830828159
2009-09-21,-15.093627331938423,-6.323958653345021,-0.6446693410835808
2009-09-22,-15.0651587746633,-6.327047397929114,-0.6037441315177219
2009-09-23,-15.035001058699287,-6.284517445182629,-0.5452176934403954
2009-09-24,-14.883546167472243,-6.301550936146052,-0.6371671872531439
2009-09-25,-14.610747242854956,-6.102861490950738,-0.5706147120980156
2009-09-28,-14.479132899292685,-6.026408976690191,-0.5323240898437692
2009-09-29,-14.51713949968826,-5.985376304680855,-0.4796165423572567
2009-09-30,-14.41120938833626,-5.905730038358344,-0.45571312568870903
2009-10-01,-14.579647069509864,-5.979195947110543,-0.49809785085482305
2009-10-02,-14.35219460830739,-5.952757144402793,-0.5616422971927302
2009-10-05,-14.319118164991162,-5.928112727456103,-0.549037701102666
2009-10-06,-14.423421387491018,-5.9308725381798455,-0.5282901843234691
2009-10-07,-14.32334227018719,-5.826333366961478,-0.5317650776651273
2009-10-08,-14.259005863558448,-5.831070832463534,-0.574387291581846
2009-10-09,-14.638163164858172,-5.787775485415745,-0.5148873640871382
2009-10-12,-14.604766076344402,-5.828733875660664,-0.5351303933992536
2009-10-13,-14.538275141950479,-5.874664601705864,-0.5619707254671408
2009-10-14,-14.731159377097004,-5.919866545311472,-0.5674586254922922
2009-10-15,-15.002340838031422,-5.9699234603684355,-0.5073757722349912
2009-10-16,-14.991234012366876,-5.926147793567399,-0.5128899003780227
2009-10-19,-14.986261083020576,-5.948584963071011,-0.5365683810394462
2009-10-20,-14.786048426997114,-5.890112635650051,-0.5836815624515477
2009-10-21,-15.015955040385057,-6.021926778422341,-0.6359812705337713
2009-10-22,-14.931797903071805,-5.988720340783514,-0.6310619168982143
2009-10-23,-15.132961456017785,-6.059390021098108,-0.6124714863139904
2009-10-26,-15.20918641678387,-6.129530281669235,-0.6127042636145796
2009-10-27,-14.870143519752673,-6.072758816956855,-0.6811525863846397
2009-10-28,-14.732926871996993,-6.027506526864493,-0.6767082761721351
2009-10-29,-14.964523084111775,-5.994027165914104,-0.5998388270095891
2009-10-30,-14.77121584245154,-5.931445010060257,-0.6132358592211984
2009-11-02,-14.714676093437138,-5.9481962461784965,-0.6723679433683034
2009-11-03,-14.724876721259948,-6.008441528681046,-0.7057334167451791
2009-11-04,-14.95845869212022,-6.068667509335572,-0.6767067083276768
2009-11-05,-15.057399487926263,-6.129643278332328,-0.6468871547418082
2009-11-06,-15.103536046593138,-6.171152546748502,-0.6315739508554284
2009-11-09,-14.905817250898615,-6.166690583426529,-0.7042661060740999
2009-11-10,-14.747475117668113,-6.093568193688111,-0.7064566406456859
2009-11-11,-14.79902280120636,-6.10088513660494,-0.6819339884109326
2009-11-12,-14.853440189600441,-6.126419834801409,-0.6663361013074343
2009-11-13,-14.79187189488223,-6.12733322582261,-0.6709604796596889
2009-11-16,-14.780957833183585,-6.1070279072136975,-0.6739320360001048
