,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2013-04-26,0.01,0.04590286309270256,26.25808507125392,-20.34237008998721,7.332528399745808,5.305479324511252
2013-05-03,0.09025136149359787,-0.027005854114658636,25.916802156913892,-20.32466426099613,7.11296146856412,5.1226938132938855
2013-05-10,0.2221046985698984,-0.19265313361762165,26.044873525873804,-20.188059356237762,7.117796194063801,5.181172247101251
2013-05-17,0.15357314147047435,-0.09087552367376817,25.93678939242266,-20.295147887939567,7.033900220323581,5.04092878567195
2013-05-24,0.8458417448281257,-0.7925394697186628,25.299082831770292,-20.875278616877576,6.532216193068804,4.913263825922419
2013-05-31,0.9517978846786628,-0.9136125915111856,25.418482904095946,-20.750708162338267,6.521651418614117,4.938639977350862
2013-06-07,0.4385305069472069,-0.4075139608910402,26.170173686432094,-20.013764091322997,7.161263149313818,5.392217662892792
2013-06-14,0.4311824954104499,-0.3886648120987713,26.112356328556576,-20.05526415018534,7.166160776807642,5.3642497443082195
2013-06-21,0.6498489138202456,-0.6398489138202456,26.340425710440996,-19.80001193113285,7.111306936672383,5.490267917886318
2013-06-28,1.433370138651314,-1.4233701386405448,25.29016249498708,-20.77214431201432,5.989385842938255,4.760398233792154
2013-07-05,1.3019679015816104,-1.2919679015476122,25.267242096894226,-20.771743614450926,5.956438878401547,4.569314062098343
2013-07-12,1.2232029989001847,-1.1805446768500067,25.109260788385054,-20.930426973291038,6.04194527018034,4.633022953908341
2013-07-19,1.1045185265493762,-1.038697581548215,24.92415643229505,-21.1116755745913,6.063166006863106,4.6320491993457065
2013-07-26,1.2598195985316352,-1.2426446547189391,25.06260357878467,-20.965339854093827,6.013499741688558,4.699300777795342
2013-08-02,1.4176005705118118,-1.3915403756058928,24.759744380350746,-21.24074420530037,5.686141409285875,4.508124630480447
2013-08-09,1.4598281015330523,-1.4223275535334912,24.74575406565639,-21.252582867252453,5.678843073994986,4.507526578377914
2013-08-16,1.80177351319734,-1.7917735129158747,25.30848616551753,-21.948909910896763,5.442529277805512,4.401567358978514
2013-08-23,2.1198020280963945,-2.1098020280836214,24.664465589531066,-21.777446778028565,5.083444322107051,4.192827495335652
2013-08-30,2.0228145388902186,-2.0109385090303022,24.614393048716398,-21.744697798688783,5.174093441506043,4.230565805908612
2013-09-06,2.050983005408961,-2.0405550467553843,24.671452024438704,-21.687237357290684,5.092729617969403,4.15634170467617
2013-09-13,2.0841439725788806,-2.0672056604896487,24.616271610982817,-21.741533428977245,5.146810490676738,4.1898139653282085
2013-09-20,2.1417571508148465,-2.1212561393556504,24.59963065332582,-21.75412812481788,5.278340358652956,4.265872518419748
2013-09-27,1.6421479384414674,-1.6265043884446977,24.960673021944043,-21.407877987674784,5.674187739648509,4.511237943908835
2013-10-04,2.0355500559833057,-2.009068325729131,24.541838840933405,-21.80556320466168,5.351378153955291,4.321161953702103
2013-10-11,2.0437311581313184,-2.0066261433823644,24.549397392199296,-21.793307216810824,5.335668808096456,4.289690594819637
2013-10-18,2.025652407219678,-1.9756894849513416,24.5268946133377,-21.812777274552253,5.3691627349824405,4.297046017589154
2013-10-25,1.6481117727329375,-1.5831410207476768,24.91934619535058,-21.43723619712909,5.783933365893077,4.556797666872034
2013-11-01,1.5541210052618455,-1.4669217816461069,24.84712240919549,-21.510410668979784,5.848083947625287,4.513397002199981
2013-11-08,1.6114983575670043,-1.5554617497385912,24.90457297987801,-21.44464166220132,5.787341348057843,4.4654074753838655
2013-11-15,2.0386695909165877,-1.953731097477421,24.230342516957087,-22.08079760196384,5.340527757710216,4.2322673799282
2013-11-22,2.0230735311059567,-1.9119233795799266,24.252595775074163,-22.058513825261187,5.301148164057162,4.195715020890563
2013-11-29,1.7751312284449667,-1.6645358039227152,24.51228817104307,-21.813527084897427,5.5198642191827005,4.3102672728615605
2013-12-06,2.0778524759834704,-1.9435189909128234,24.292153086045566,-22.017194804142584,5.150804596513839,4.11196804646591
2013-12-13,2.0696714685626594,-1.8969114223565589,24.27212181735638,-22.03623326057341,5.180927930010497,4.157657285539951
2013-12-20,2.26619792341756,-2.1158335462593443,24.017333034827285,-22.276876476717142,4.830819165249906,3.9341691297435486
2013-12-27,2.49253755245052,-2.3633190338455874,23.804305242858753,-22.479111117064967,4.554804504252691,3.757846663422897
2014-01-03,2.5193971806565387,-2.411773120691087,23.814752472096014,-22.46773228101925,4.611150761869756,3.791993955344504
2014-01-10,2.4733419053930588,-2.3379283356779683,23.75589510218545,-22.52527930071865,4.709543961102713,3.8542711375196532
2014-01-17,2.4046178723077416,-2.24779460275469,23.703249239099325,-22.577064313044854,4.7751582522413445,3.9115672653813798
2014-01-24,2.0697766541893183,-1.92852716760261,24.025098579594673,-22.26510504468347,5.091466571618708,4.100318353787018
2014-01-31,1.9670988218184344,-1.8316181666926712,23.960521591810302,-22.32914120540807,5.0985565253783856,4.073897717330949
2014-02-07,1.959411838330962,-1.788585214656088,23.959856771531943,-22.328155744240256,5.119009750912414,4.074252560017701
2014-02-14,1.987634009918204,-1.8344361975620904,23.998582407011146,-22.289946322394904,5.139427092138704,4.093190387025347
2014-02-21,2.0005735918582217,-1.8345107316631202,23.98435270196279,-22.304400214052826,5.206937417783995,4.141929161210719
2014-02-28,1.9404492372598103,-1.7622423709407429,23.978069572487485,-22.303906720049838,5.167291583376191,4.149181202999902
2014-03-07,1.6987383005007148,-1.4948964425636042,24.347191905015503,-21.949564570279357,5.469938522505915,4.31630997167733
2014-03-14,1.6480529071185628,-1.4350743948316609,24.254349865950388,-22.042830829641037,5.602129885491985,4.408643650731683
2014-03-21,1.6942097762005024,-1.459797823624884,24.32864194880323,-21.9634019328332,5.5524313808979375,4.4031480280580215
2014-03-28,1.589828190632275,-1.3863544316560867,24.30234735132656,-21.988639662540226,5.5520815708236695,4.372515173697568
2014-04-04,1.2314386489129276,-1.0124268806131809,24.814001180047807,-21.50858920838426,6.011629824691384,4.598788905921709
2014-04-11,1.2047008705613391,-1.0106272491733612,24.779228868464152,-21.53853781295718,6.02640538691733,4.658022401779443
2014-04-17,1.2390252601630505,-1.0889742518493315,24.799332359760605,-21.516362093090557,6.0523849265355185,4.739622099247111
2014-04-25,1.2078500016182572,-1.0349106786770543,24.770512952661267,-21.543946933868842,6.024171213597604,4.737485199900362
2014-05-02,1.1784129514340338,-1.0122867512930387,24.767755947761973,-21.54711239237932,6.023065406917738,4.689836628601203
2014-05-09,1.1780404724334264,-1.0156449367735676,24.762386459528447,-21.55264023646296,6.087419688791679,4.71283281188241
2014-05-16,1.0510367337918929,-0.8757317041124428,24.66959732362916,-21.644974219581126,6.1019553978417935,4.709109461974891
2014-05-23,1.0396000762211783,-0.8780365822856969,24.716471120508928,-21.598507186860367,6.076759711859918,4.661122012088039
2014-05-30,1.03276817288564,-0.9050690557296084,24.70582155266925,-21.482951558134857,6.261250076082681,4.827911513643621
2014-06-06,1.0226725891234498,-0.8571368136472794,24.634597280963604,-21.547073358884106,6.3468087382612035,4.791813688472403
2014-06-13,1.030607409496236,-0.9504610500947152,24.782463057692624,-21.408861690504718,6.325576513685287,4.819115157009762
2014-06-20,1.0017148981025872,-0.90729406672533,24.78672830790851,-21.407056772150046,6.419933966487834,4.898099821962481
2014-06-27,1.0145612372,-0.935320474789463,24.81713010725711,-21.70242329864287,6.447885081080687,5.012458306888567
2014-07-04,0.9935980444484432,-0.8910859234571392,24.801165712328128,-21.720676916209325,6.477881233783398,4.966318077575151
2014-07-11,0.9551579620418508,-0.8690272445341422,24.784431065006924,-21.7380047871181,6.555968839222039,5.072679004782505
2014-07-18,0.9123500083202488,-0.8182951525571165,24.21268638866828,-21.339635745615112,6.512017030111778,5.067286443615672
2014-07-25,0.9175939265495556,-0.8514815699881761,24.24875153350468,-21.303729614213935,6.55109791253113,5.126520702218411
2014-08-01,0.9135982698378114,-0.8489389025031131,24.268139561702107,-21.284363837166058,6.547041760951339,5.116192406168652
2014-08-08,0.8147701768425483,-0.7470834258176832,24.153838404026374,-21.395704661703967,6.521409819787902,5.1651319842825565
2014-08-15,0.8103833912946242,-0.7327069935312245,24.106685577362114,-21.443559100503204,6.597508956569945,5.219936773350323
2014-08-22,0.7512788041873854,-0.6852449783007903,24.097804345465327,-21.450575591911303,6.537213259828572,5.2159736504222245
2014-08-29,0.7384867418578567,-0.7104530893828099,24.040924676933464,-21.50025153955389,6.730738074778942,5.431942873683033
2014-09-05,0.755423,-0.745423,24.17824508996996,-21.3724681813924,6.909842742697399,5.399749975873717
2014-09-12,0.7495996901109321,-0.7395996901109321,24.309340964902844,-21.24122018694905,6.659271848386821,5.189547098693049
2014-09-19,0.7859264704044476,-0.7759264704044476,24.251377493026624,-21.29836736047617,6.7448250913883045,5.258268368238579
2014-09-26,0.7303279950480055,-0.7203279950480055,24.18463209603291,-21.358878384180848,6.811747008237822,5.343673454504715
2014-10-03,0.700816327520982,-0.690816327520982,24.152919438796104,-21.388501401964824,6.8133076582885375,5.409462219577971
2014-10-10,0.6977058814349115,-0.6877058814349115,24.110774364974304,-21.43127320921609,6.901253099266747,5.490969761901254
2014-10-17,0.7711904931993034,-0.7611904931993035,24.00286477977319,-21.53823335082004,6.76595298208755,5.475481204271811
2014-10-24,0.6664101557313695,-0.6564101557313695,24.05940863007091,-21.278667222966284,6.934645531431276,5.539433554328316
2014-10-31,0.6869762538881269,-0.6769762538881269,23.961696452614703,-21.374575363509237,6.975429220862097,5.585362355287603
2014-11-07,0.7355727392383152,-0.7255727392383152,23.939614234209827,-21.39861694054529,7.115298044498639,5.685042345651442
